timestamp,open,high,low,close,volume,datetime
1598918400000,11661,11676.5,11537.5,11619,462.463,2020-09-01 00:00:00+00:00
1598922000000,11619,11638,11600,11629.5,132.015,2020-09-01 01:00:00+00:00
1598925600000,11629.5,11638,11614.5,11636.5,331.388,2020-09-01 02:00:00+00:00
1598929200000,11636.5,11700,11628.5,11690,153.213,2020-09-01 03:00:00+00:00
1598932800000,11690,11722,11688,11700,118.96,2020-09-01 04:00:00+00:00
1598936400000,11700,11803.5,11699,11796,237.415,2020-09-01 05:00:00+00:00
1598940000000,11796,11880,11785,11870.5,570.693,2020-09-01 06:00:00+00:00
1598943600000,11870.5,11946,11870.5,11930,752.684,2020-09-01 07:00:00+00:00
1598947200000,11930,11945.5,11888,11928,336.247,2020-09-01 08:00:00+00:00
1598950800000,11928,11958,11875,11953.5,265.724,2020-09-01 09:00:00+00:00
1598954400000,11953.5,11954,11923.5,11938,158.907,2020-09-01 10:00:00+00:00
1598958000000,11938,11938,11856.5,11884,279.988,2020-09-01 11:00:00+00:00
1598961600000,11884,11937,11864,11914,234.646,2020-09-01 12:00:00+00:00
1598965200000,11914,11918,11870.5,11880.5,123.119,2020-09-01 13:00:00+00:00
1598968800000,11880.5,11908,11819,11906.5,432.14,2020-09-01 14:00:00+00:00
1598972400000,11906.5,12061.5,11906.5,12054.5,959.678,2020-09-01 15:00:00+00:00
1598976000000,12054.5,12066,11997.5,12014.5,304.191,2020-09-01 16:00:00+00:00
1598979600000,12014.5,12025,11970,11982.5,136.11,2020-09-01 17:00:00+00:00
1598983200000,11982.5,12017,11982.5,11992,58.219,2020-09-01 18:00:00+00:00
1598986800000,11992,11999,11972.5,11972.5,79.026,2020-09-01 19:00:00+00:00
1598990400000,11972.5,12020.5,11960,12020,78.009,2020-09-01 20:00:00+00:00
1598994000000,12020,12053,12010.5,12029,102.494,2020-09-01 21:00:00+00:00
1598997600000,12029,12057,11961,11980,177.697,2020-09-01 22:00:00+00:00
1599001200000,11980,12015,11873,11927.5,297.964,2020-09-01 23:00:00+00:00
1599004800000,11927.5,11955.5,11890,11896.5,601.405,2020-09-02 00:00:00+00:00
1599008400000,11896.5,11925,11873,11903.5,450.646,2020-09-02 01:00:00+00:00
1599012000000,11903.5,11911,11868.5,11871.5,145.521,2020-09-02 02:00:00+00:00
1599015600000,11871.5,11880.5,11836,11844.5,338.886,2020-09-02 03:00:00+00:00
1599019200000,11844.5,11897,11836,11872,161.724,2020-09-02 04:00:00+00:00
1599022800000,11872,11904.5,11862.5,11865.5,67.713,2020-09-02 05:00:00+00:00
1599026400000,11865.5,11865.5,11764,11803.5,611.263,2020-09-02 06:00:00+00:00
1599030000000,11803.5,11814,11728,11732,886.716,2020-09-02 07:00:00+00:00
1599033600000,11732,11750,11667,11715,503.208,2020-09-02 08:00:00+00:00
1599037200000,11715,11760,11714.5,11759,284.902,2020-09-02 09:00:00+00:00
1599040800000,11759,11759.5,11532,11590,1151.513,2020-09-02 10:00:00+00:00
1599044400000,11590,11590,11171,11415.5,2860.935,2020-09-02 11:00:00+00:00
1599048000000,11415.5,11491,11396,11443,319.26,2020-09-02 12:00:00+00:00
1599051600000,11443,11458,11332,11355,358.973,2020-09-02 13:00:00+00:00
1599055200000,11355,11377.5,11214,11255,474.849,2020-09-02 14:00:00+00:00
1599058800000,11255,11359.5,11250.5,11346,563.099,2020-09-02 15:00:00+00:00
1599062400000,11346,11371.5,11262,11315,405.86,2020-09-02 16:00:00+00:00
1599066000000,11315,11364,11297,11360,116.564,2020-09-02 17:00:00+00:00
1599069600000,11360,11396.5,11338.5,11396,114.411,2020-09-02 18:00:00+00:00
1599073200000,11396,11409,11356.5,11394,86.672,2020-09-02 19:00:00+00:00
1599076800000,11394,11394,11311.5,11360,141.38,2020-09-02 20:00:00+00:00
1599080400000,11360,11377,11350,11370,30.512,2020-09-02 21:00:00+00:00
1599084000000,11370,11436,11370,11431.5,129.419,2020-09-02 22:00:00+00:00
